code,preshead,theta
4220,,
4221,,
4222,,
4223,,
4224,,
4230,,
4231,,
4232,,
4233,,
4234,,
4241,,
4242,,
4243,,
4251,,
4252,,
4253,,
4261,,
4262,,
4263,,
4271,,
4272,,
4273,,
4281,,
4282,,
4283,,
4284,,
4291,,
4310,,
4311,,
4340,,
4341,,
4390,,
4391,,
4410,,
4411,,
4412,,
4440,,
4441,,
4442,,
4443,,
4444,,
4445,,
4450,,
4460,,
4470,,
4480,,
4490,,
4500,,
4510,,
4511,,
4512,,
4514,,
4520,,
4521,,
4522,,
4523,,
4530,,
4531,,
4532,,
4533,,
4540,,
4541,,
4542,,
4543,,
4544,,
4550,,
4551,,
4552,,
4553,,
4560,,
4561,,
4562,,
4564,,
4570,,
4571,,
4572,,
4573,,
4574,,
4575,,
4580,,
4581,,
4582,,
4583,,
4590,,
4591,,
4592,,
4600,,
4601,,
4602,,
4610,,
4611,,
4612,,
4620,,
4621,,
4622,,
4650,,
4651,,
4660,,
4661,,
4670,,
4671,,
4672,,
4673,,
4680,,
4681,,
4690,596.0,0.144
4690,437.0,0.157
4690,220.0,0.191
4690,170.0,0.203
4690,138.0,0.214
4690,104.0,0.226
4690,83.0,0.237
4690,72.0,0.249
4690,63.0,0.26
4690,55.0,0.271
4690,45.0,0.284
4690,39.0,0.296
4690,36.0,0.306
4690,30.0,0.319
4690,23.0,0.33
4690,18.0,0.342
4690,16.0,0.353
4690,7.0,0.363
4700,59.0,0.244
4700,53.0,0.256
4700,48.0,0.267
4700,45.0,0.277
4700,40.0,0.288
4700,38.0,0.3
4700,32.0,0.312
4700,29.0,0.321
4700,23.0,0.332
4700,18.0,0.345
4700,15.0,0.355
4700,10.0,0.365
4700,6.0,0.377
4700,2.0,0.396
4710,203.0,0.13
4710,164.0,0.141
4710,134.0,0.152
4710,116.0,0.164
4710,104.0,0.175
4710,88.0,0.185
4710,72.0,0.198
4710,66.0,0.209
4710,63.0,0.219
4710,58.0,0.23
4710,51.0,0.241
4710,47.0,0.253
4710,43.0,0.265
4710,39.0,0.276
4710,34.0,0.287
4710,31.0,0.299
4710,27.0,0.309
4710,21.0,0.32
4710,19.0,0.332
4710,15.0,0.344
4710,13.0,0.353
4710,9.0,0.365
4710,6.0,0.376
4710,4.0,0.387
4710,0.0,0.406
4720,444.0,0.035
4720,79.0,0.053
4720,63.0,0.063
4720,53.0,0.073
4720,44.0,0.083
4720,39.0,0.092
4720,33.0,0.102
4720,29.0,0.113
4720,27.0,0.122
4720,24.0,0.132
4720,22.0,0.142
4720,22.0,0.152
4720,19.0,0.162
4720,17.0,0.172
4720,16.0,0.181
4720,14.0,0.192
4720,14.0,0.202
4720,12.0,0.212
4720,10.0,0.221
4720,11.0,0.232
4720,7.0,0.241
4720,8.0,0.251
4720,8.0,0.261
4720,5.0,0.271
4720,0.0,0.284
4750,,
4760,,
4770,,
4780,,
4790,,
4791,,
4800,,
4801,,
4810,,
4870,539500.0,0.044
4870,299900.0,0.054
4870,188800.0,0.063
4870,100200.0,0.073
4870,55850.0,0.092
4870,30550.0,0.103
4870,11040.0,0.115
4870,259.0,0.267
4870,177.0,0.292
4870,132.0,0.314
4870,95.0,0.338
4870,68.0,0.362
4870,50.0,0.385
4870,35.0,0.409
4870,25.0,0.432
4870,20.0,0.444
4870,16.0,0.457
4880,199.0,0.053
4880,153.0,0.057
4880,127.0,0.06
4880,89.0,0.067
4880,66.0,0.072
4880,55.0,0.079
4880,51.0,0.091
4880,45.0,0.112
4880,40.0,0.144
4880,36.0,0.187
4880,31.0,0.242
4880,26.0,0.284
4880,20.0,0.316
4880,16.0,0.321
4880,10.0,0.323
4880,5.0,0.325
4880,2.0,0.326
4881,,
4890,9.0,0.301
4890,20.0,0.299
4890,38.0,0.294
4890,51.0,0.259
4890,62.0,0.223
4890,72.0,0.188
4890,84.0,0.138
4890,106.0,0.098
4890,222.0,0.071
4890,360.0,0.05
4910,1018.0,0.236
4910,98.0,0.276
4910,44.0,0.367
4910,8.0,0.432
4920,1.0,0.523
4920,2.0,0.513
4920,3.0,0.504
4920,4.0,0.495
4920,5.0,0.491
4920,6.0,0.486
4920,7.0,0.48
4920,9.0,0.476
4920,10.0,0.47
4920,13.0,0.464
4920,15.0,0.46
4920,18.0,0.455
4920,21.0,0.448
4920,24.0,0.445
4920,27.0,0.441
4920,31.0,0.436
4920,36.0,0.43
4920,44.0,0.423
4920,53.0,0.416
4920,64.0,0.41
4920,74.0,0.404
4920,87.0,0.397
4920,99.0,0.391
4920,112.0,0.384
4920,130.0,0.377
4920,152.0,0.367
4920,190.0,0.351
4920,215.0,0.342
4920,240.0,0.334
4920,278.0,0.322
4920,312.0,0.311
4920,353.0,0.301
4920,400.0,0.29
4920,468.0,0.277
4920,590.0,0.26
4920,658.0,0.25
4920,733.0,0.243
4920,843.0,0.234
4920,971.0,0.224
4921,1.0,0.525
4921,1.0,0.521
4921,2.0,0.517
4921,2.0,0.513
4921,2.0,0.509
4921,3.0,0.504
4921,3.0,0.5
4921,4.0,0.495
4921,5.0,0.491
4921,6.0,0.486
4921,7.0,0.48
4921,9.0,0.476
4921,10.0,0.47
4921,13.0,0.464
4921,15.0,0.46
4921,18.0,0.455
4921,21.0,0.448
4921,24.0,0.445
4921,27.0,0.441
4921,31.0,0.436
4921,36.0,0.43
4921,44.0,0.423
4921,53.0,0.416
4921,64.0,0.41
4921,74.0,0.404
4921,87.0,0.397
4921,99.0,0.391
4921,112.0,0.384
4921,130.0,0.377
4921,152.0,0.367
4921,190.0,0.351
4921,215.0,0.342
4921,240.0,0.334
4921,278.0,0.322
4921,312.0,0.311
4921,353.0,0.301
4921,400.0,0.29
4921,468.0,0.277
4921,590.0,0.26
4921,658.0,0.25
4921,733.0,0.243
4921,843.0,0.234
4921,971.0,0.224
4921,42.0,0.481
4921,56.0,0.463
4921,68.0,0.444
4921,84.0,0.426
4921,102.0,0.406
4921,123.0,0.384
4921,143.0,0.367
4921,167.0,0.347
4921,202.0,0.329
4921,239.0,0.311
4921,286.0,0.294
4921,345.0,0.275
4921,426.0,0.26
4921,513.0,0.245
4921,618.0,0.231
4921,738.0,0.219
4921,925.0,0.206
4922,1.0,0.505
4922,1.0,0.501
4922,2.0,0.498
4922,2.0,0.494
4922,3.0,0.49
4922,3.0,0.486
4922,4.0,0.481
4922,6.0,0.477
4922,7.0,0.472
4922,9.0,0.466
4922,11.0,0.46
4922,14.0,0.453
4922,18.0,0.446
4922,23.0,0.438
4922,29.0,0.428
4922,36.0,0.42
4922,41.0,0.413
4922,53.0,0.401
4922,65.0,0.388
4922,80.0,0.377
4922,98.0,0.359
4922,120.0,0.348
4922,149.0,0.326
4922,188.0,0.309
4922,232.0,0.29
4922,284.0,0.273
4922,353.0,0.257
4922,440.0,0.24
4922,530.0,0.226
4922,618.0,0.214
4922,740.0,0.201
4922,912.0,0.189
4923,1.0,0.505
4923,1.0,0.501
4923,2.0,0.498
4923,2.0,0.494
4923,3.0,0.49
4923,3.0,0.486
4923,4.0,0.481
4923,6.0,0.477
4923,7.0,0.472
4923,9.0,0.466
4923,11.0,0.46
4923,14.0,0.453
4923,18.0,0.446
4923,23.0,0.438
4923,29.0,0.428
4923,36.0,0.42
4923,41.0,0.413
4923,53.0,0.401
4923,65.0,0.388
4923,80.0,0.377
4923,98.0,0.359
4923,120.0,0.348
4923,149.0,0.326
4923,188.0,0.309
4923,232.0,0.29
4923,284.0,0.273
4923,353.0,0.257
4923,440.0,0.24
4923,530.0,0.226
4923,618.0,0.214
4923,740.0,0.201
4923,912.0,0.189
4940,8.0,0.264
4940,10.0,0.254
4940,10.0,0.253
4940,11.0,0.244
4940,12.0,0.237
4940,14.0,0.226
4940,15.0,0.209
4940,16.0,0.195
4940,18.0,0.182
4940,19.0,0.159
4940,21.0,0.14
4940,22.0,0.13
4940,25.0,0.116
4940,26.0,0.112
4940,36.0,0.088
4941,9.0,0.25
4941,10.0,0.243
4941,11.0,0.229
4941,14.0,0.222
4941,15.0,0.219
4941,15.0,0.215
4941,16.0,0.207
4941,18.0,0.191
4941,18.0,0.186
4941,20.0,0.167
4941,22.0,0.146
4941,26.0,0.122
4941,30.0,0.108
4941,31.0,0.106
4941,38.0,0.088
4950,,
4960,,
