code,theta,conductivity
1362,0.372,0.00081
1362,0.37,0.00111
1362,0.365,0.00601
1362,0.362,0.0007
1362,0.356,0.00051
1362,0.352,0.0006
1362,0.35,0.00073
1362,0.349,0.00122
1362,0.347,0.00016
1362,0.344,0.00274
1362,0.343,0.00065
1362,0.34,0.00017
1362,0.334,0.00053
1362,0.333,0.00053
1362,0.33,0.00092
1362,0.324,0.00044
1362,0.322,0.00066
1362,0.315,0.00046
1362,0.307,0.00039
1362,0.303,0.00032
1370,0.551,0.09677
1370,0.547,0.08718
1370,0.541,0.2799
1370,0.538,0.0425
1370,0.537,0.03946
1370,0.535,0.01462
1370,0.534,2.716
1370,0.529,0.1329
1370,0.528,0.4211
1370,0.522,0.03429
1370,0.52,0.02679
1370,0.518,0.00946
1370,0.516,0.02463
1370,0.511,0.0419
1370,0.508,0.00646
1370,0.504,0.00901
1370,0.5,0.00988
1370,0.496,0.00413
1370,0.493,0.01562
1370,0.491,0.00463
1370,0.489,0.01525
1370,0.487,0.00277
1370,0.484,0.00162
1370,0.475,0.00157
1370,0.474,0.00203
1370,0.47,0.00144
1370,0.469,0.00151
1370,0.468,0.00362
1370,0.465,0.00257
1370,0.463,0.00116
1370,0.461,0.0015
1370,0.458,0.0012
1370,0.456,0.00211
1370,0.455,0.00071
1370,0.453,0.001
1370,0.449,0.003
1370,0.447,0.00059
1370,0.444,0.00053
1370,0.439,0.00072
1370,0.438,0.00041
1370,0.433,0.00134
1370,0.43,0.00034
1370,0.422,0.00044
1370,0.417,0.00062
1370,0.41,0.00036
1371,0.412,0.01131
1371,0.408,0.00239
1371,0.406,0.08946
1371,0.405,0.00224
1371,0.404,0.01168
1371,0.402,0.0142
1371,0.401,0.00562
1371,0.4,0.00422
1371,0.399,0.00154
1371,0.397,0.00387
1371,0.395,0.00124
1371,0.394,0.00345
1371,0.392,0.00072
1371,0.391,0.00166
1371,0.39,0.00247
1371,0.387,0.00209
1371,0.386,0.01806
1371,0.383,0.0032
1371,0.381,0.0027
1371,0.379,0.0005
1371,0.378,0.00302
1371,0.376,0.0018
1371,0.374,0.00258
1371,0.372,0.00089
1371,0.371,0.00098
1371,0.368,0.00047
1371,0.367,0.00213
1371,0.366,0.00055
1371,0.365,0.00121
1371,0.364,0.00065
1371,0.362,0.00027
1371,0.359,0.00065
1371,0.357,0.00075
1371,0.355,0.00048
1371,0.353,0.00033
1371,0.351,0.00047
1371,0.346,0.00043
1371,0.338,0.00032
1371,0.335,0.00042
1372,0.419,0.03936
1372,0.418,0.00643
1372,0.414,0.00295
1372,0.411,0.00195
1372,0.41,0.02454
1372,0.407,0.0043
1372,0.405,0.003
1372,0.403,0.00211
1372,0.402,0.00128
1372,0.397,0.02119
1372,0.395,0.0026
1372,0.394,0.00066
1372,0.393,0.00323
1372,0.39,0.00267
1372,0.389,0.00294
1372,0.388,0.00078
1372,0.386,0.00292
1372,0.384,0.00415
1372,0.383,0.00181
1372,0.382,0.00491
1372,0.38,0.00103
1372,0.379,0.00255
1372,0.378,0.00049
1372,0.377,0.00052
1372,0.376,0.00183
1372,0.375,0.00111
1372,0.374,0.00049
1372,0.373,0.00068
1372,0.372,0.00073
1372,0.371,0.0005
1372,0.37,0.00044
1372,0.369,0.00054
1372,0.367,0.00113
1372,0.365,0.00045
1372,0.362,0.0005
1372,0.361,0.00072
1372,0.359,0.00046
1372,0.356,0.0005
1380,0.429,7.568
1380,0.411,2.94
1380,0.409,5.23
1380,0.403,8.185
1380,0.394,3.41
1380,0.389,6.633
1380,0.385,1.618
1380,0.381,1.573
1380,0.369,0.837
1380,0.368,0.2472
1380,0.367,1.426
1380,0.367,0.9818
1380,0.357,1.192
1380,0.354,0.1895
1380,0.35,0.2834
1380,0.348,0.5001
1380,0.337,0.4199
1380,0.332,0.124
1380,0.328,0.2349
1380,0.324,0.08076
1380,0.321,0.1137
1380,0.32,0.1625
1380,0.319,0.04741
1380,0.315,0.04686
1380,0.311,0.02852
1380,0.31,0.04638
1380,0.304,0.06888
1380,0.299,0.03109
1380,0.292,0.01944
1380,0.291,0.02104
1380,0.283,0.02096
1380,0.282,0.01219
1380,0.276,0.00858
1380,0.274,0.01247
1380,0.27,0.01106
1380,0.269,0.00912
1380,0.268,0.0062
