code,particle_size,particle_fraction
1151,125.0,0.391
1151,250.0,0.881
1151,500.0,0.977
1151,1000.0,0.999
1151,2000.0,1.002
1152,2.0,0.247
1152,50.0,0.32
1152,125.0,0.479
1152,250.0,0.856
1152,500.0,0.964
1152,1000.0,0.994
1152,2000.0,1.0
1160,2.0,0.08
1160,50.0,0.21
1160,105.0,0.266
1160,250.0,0.424
1160,500.0,0.679
1160,1000.0,0.915
1160,2000.0,1.001
1161,2.0,0.18
1161,50.0,0.36
1161,105.0,0.412
1161,250.0,0.542
1161,500.0,0.731
1161,1000.0,0.908
1161,2000.0,0.991
1162,2.0,0.49
1162,50.0,0.62
1162,105.0,0.654
1162,250.0,0.714
1162,500.0,0.82
1162,1000.0,0.936
1162,2000.0,0.992
1163,2.0,0.47
1163,50.0,0.59
1163,105.0,0.634
1163,250.0,0.708
1163,500.0,0.808
1163,1000.0,0.928
1163,2000.0,0.996
1164,2.0,0.32
1164,50.0,0.5
1164,105.0,0.567
1164,250.0,0.655
1164,500.0,0.763
1164,1000.0,0.913
1164,2000.0,0.997
1165,2.0,0.25
1165,50.0,0.44
1165,105.0,0.508
1165,250.0,0.597
1165,500.0,0.712
1165,1000.0,0.882
1165,2000.0,0.991
1166,2.0,0.2
1166,50.0,0.39
1166,105.0,0.463
1166,250.0,0.575
1166,500.0,0.721
1166,1000.0,0.9
1166,2000.0,0.98
1170,2.0,0.069
1170,50.0,0.269
1170,2000.0,1.0
1171,2.0,0.212
1171,50.0,0.392
1171,2000.0,1.0
1172,2.0,0.387
1172,50.0,0.583
1172,2000.0,1.0
1173,2.0,0.39
1173,50.0,0.62
1173,2000.0,0.999
1174,2.0,0.359
1174,50.0,0.47
1174,2000.0,1.0
1180,2.0,0.38
1180,50.0,0.6
1180,2000.0,1.0
1181,2.0,0.48
1181,50.0,0.7
1181,2000.0,1.0
1182,2.0,0.54
1182,50.0,0.67
1182,2000.0,1.0
1183,2.0,0.32
1183,50.0,0.5
1183,2000.0,1.0
1184,2.0,0.33
1184,50.0,0.53
1184,2000.0,1.0
1190,2.0,0.22
1190,50.0,0.68
1190,100.0,0.879
1190,250.0,0.993
1190,500.0,0.996
1190,1000.0,0.998
1190,2000.0,0.999
1191,2.0,0.357
1191,50.0,0.76
1191,100.0,0.904
1191,250.0,0.986
1191,500.0,0.99
1191,1000.0,0.995
1191,2000.0,0.998
1192,2.0,0.395
1192,50.0,0.755
1192,100.0,0.887
1192,250.0,0.996
1192,500.0,0.997
1192,1000.0,0.998
1192,2000.0,1.0
1193,2.0,0.34
1193,50.0,0.657
1193,100.0,0.824
1193,250.0,0.991
1193,500.0,0.994
1193,1000.0,0.996
1193,2000.0,1.0
1194,2.0,0.357
1194,50.0,0.64
1194,100.0,0.816
1194,250.0,0.992
1194,500.0,0.994
1194,1000.0,0.996
1194,2000.0,0.998
1200,2.0,0.145
1200,50.0,0.393
1200,125.0,0.592
1200,250.0,0.854
1200,500.0,0.99
1200,1000.0,0.997
1200,2000.0,0.998
1201,2.0,0.238
1201,50.0,0.473
1201,125.0,0.614
1201,250.0,0.856
1201,500.0,0.991
1201,1000.0,0.997
1201,2000.0,0.998
1202,2.0,0.18
1202,50.0,0.353
1202,125.0,0.499
1202,250.0,0.817
1202,500.0,0.987
1202,1000.0,0.998
1202,2000.0,0.998
1203,2.0,0.08
1203,50.0,0.197
1203,125.0,0.365
1203,250.0,0.758
1203,500.0,0.984
1203,1000.0,0.995
1203,2000.0,0.995
1204,2.0,0.13
1204,50.0,0.223
1204,125.0,0.381
1204,250.0,0.759
1204,500.0,0.986
1204,1000.0,0.999
1204,2000.0,0.999
1210,2.0,0.127
1210,50.0,0.433
1210,125.0,0.801
1210,250.0,0.95
1210,500.0,0.992
1210,1000.0,0.995
1210,2000.0,0.995
1211,2.0,0.195
1211,50.0,0.503
1211,125.0,0.841
1211,250.0,0.968
1211,500.0,0.997
1211,1000.0,0.999
1211,2000.0,0.999
1212,2.0,0.212
1212,50.0,0.518
1212,125.0,0.841
1212,250.0,0.963
1212,500.0,0.993
1212,1000.0,0.997
1212,2000.0,0.998
1213,2.0,0.337
1213,50.0,0.677
1213,125.0,0.888
1213,250.0,0.967
1213,500.0,0.991
1213,1000.0,0.995
1213,2000.0,1.0
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1240,1.0,0.012
1240,4.0,0.013
1240,5.0,0.017
1240,7.0,0.017
1240,9.0,0.024
1240,16.0,0.029
1240,30.0,0.035
1240,51.0,0.037
1240,53.0,0.037
1240,75.0,0.042
1240,110.0,0.053
1240,250.0,0.105
1240,500.0,0.377
1240,1000.0,0.868
1240,2000.0,0.972
1241,1.0,0.013
1241,4.0,0.013
1241,5.0,0.017
1241,7.0,0.018
1241,9.0,0.023
1241,16.0,0.031
1241,30.0,0.036
1241,51.0,0.038
1241,53.0,0.039
1241,75.0,0.044
1241,110.0,0.055
1241,250.0,0.103
1241,500.0,0.373
1241,1000.0,0.864
1241,2000.0,0.975
1260,1.0,0.12
1260,4.0,0.159
1260,5.0,0.168
1260,6.0,0.19
1260,8.0,0.226
1260,15.0,0.302
1260,27.0,0.4
1260,44.0,0.555
1260,53.0,0.586
1260,75.0,0.696
1260,110.0,0.83
1260,250.0,0.946
1260,500.0,0.974
1260,1000.0,0.995
1260,2000.0,0.999
1261,1.0,0.111
1261,4.0,0.153
1261,5.0,0.164
1261,6.0,0.187
1261,8.0,0.234
1261,15.0,0.315
1261,27.0,0.428
1261,44.0,0.603
1261,53.0,0.633
1261,75.0,0.774
1261,110.0,0.905
1261,250.0,0.974
1261,500.0,0.988
1261,1000.0,0.999
1261,2000.0,0.999
1270,,
1280,2.0,0.136
1280,6.0,0.181
1280,20.0,0.334
1280,63.0,0.935
1280,200.0,0.987
1280,630.0,0.999
1280,2000.0,1.0
1281,2.0,0.193
1281,6.0,0.268
1281,20.0,0.465
1281,63.0,0.976
1281,200.0,0.993
1281,630.0,0.999
1281,2000.0,1.0
1282,2.0,0.247
1282,6.0,0.333
1282,20.0,0.436
1282,63.0,0.977
1282,200.0,0.996
1282,630.0,1.0
1282,2000.0,1.0
1290,2.0,0.043
1290,63.0,0.112
1290,2000.0,1.0
1300,2.0,0.314
1300,50.0,0.612
1300,2000.0,1.0
1301,2.0,0.314
1301,50.0,0.612
1301,2000.0,1.0
1310,2.0,0.02
1310,50.0,0.044
1310,2000.0,1.0
1320,2.0,0.545
1320,20.0,0.86
1320,63.0,0.954
1320,200.0,0.985
1320,630.0,0.996
1320,2000.0,0.999
1330,2.0,0.092
1330,63.0,0.964
1330,2000.0,1.0
1331,2.0,0.23
1331,63.0,0.98
1331,2000.0,1.0
1340,2.0,0.162
1340,6.0,0.206
1340,20.0,0.36
1340,60.0,0.83
1340,200.0,0.927
1340,600.0,0.995
1340,2000.0,1.0
1341,2.0,0.156
1341,6.0,0.201
1341,20.0,0.375
1341,60.0,0.884
1341,200.0,0.948
1341,600.0,0.998
1341,2000.0,1.0
1342,2.0,0.163
1342,6.0,0.202
1342,20.0,0.403
1342,60.0,0.9
1342,200.0,0.955
1342,600.0,0.997
1342,2000.0,1.0
1350,2.0,0.17
1350,6.0,0.215
1350,20.0,0.38
1350,60.0,0.813
1350,200.0,0.922
1350,600.0,0.986
1350,2000.0,1.0
1351,2.0,0.17
1351,6.0,0.213
1351,20.0,0.375
1351,60.0,0.845
1351,200.0,0.929
1351,600.0,0.99
1351,2000.0,1.0
1352,2.0,0.174
1352,6.0,0.22
1352,20.0,0.394
1352,60.0,0.857
1352,200.0,0.925
1352,600.0,0.995
1352,2000.0,1.0
1360,2.0,0.435
1360,6.0,0.509
1360,20.0,0.678
1360,63.0,0.873
1360,200.0,0.974
1360,630.0,0.995
1360,2000.0,1.0
1361,2.0,0.403
1361,6.0,0.516
1361,20.0,0.64
1361,63.0,0.876
1361,200.0,0.988
1361,630.0,0.999
1361,2000.0,1.0
1362,2.0,0.322
1362,6.0,0.438
1362,20.0,0.582
1362,63.0,0.85
1362,200.0,0.986
1362,630.0,0.999
1362,2000.0,1.0
1370,2.0,0.259
1370,6.0,0.376
1370,20.0,0.465
1370,63.0,0.576
1370,200.0,0.804
1370,630.0,0.974
1370,2000.0,1.0
1371,2.0,0.339
1371,6.0,0.422
1371,20.0,0.504
1371,63.0,0.882
1371,200.0,0.931
1371,630.0,0.991
1371,2000.0,1.0
1372,2.0,0.351
1372,6.0,0.45
1372,20.0,0.553
1372,63.0,0.902
1372,200.0,0.947
1372,630.0,0.996
1372,2000.0,1.0
1380,2.0,0.078
1380,6.0,0.118
1380,20.0,0.206
1380,63.0,0.577
1380,200.0,0.774
1380,630.0,0.987
1380,2000.0,1.0
1381,2.0,0.112
1381,6.0,0.155
1381,20.0,0.237
1381,63.0,0.542
1381,200.0,0.74
1381,630.0,0.975
1381,2000.0,1.0
1382,2.0,0.268
1382,6.0,0.316
1382,20.0,0.4
1382,63.0,0.509
1382,200.0,0.785
1382,630.0,0.978
1382,2000.0,1.0
1383,2.0,0.407
1383,6.0,0.622
1383,20.0,0.819
1383,63.0,0.961
1383,200.0,0.994
1383,630.0,0.999
1383,2000.0,1.0
1390,2.0,0.066
1390,63.0,0.424
1390,2000.0,1.0
1391,2.0,0.066
1391,63.0,0.424
1391,2000.0,1.0
1392,2.0,0.066
1392,63.0,0.424
1392,2000.0,1.0
1400,2.0,0.581
1400,6.0,0.733
1400,20.0,0.858
1400,63.0,0.981
1400,200.0,0.999
1400,630.0,1.0
1400,2000.0,1.0
1410,250.0,0.0
1410,500.0,1.0
1420,2.0,0.32
1420,50.0,0.8
1420,2000.0,1.0
1430,2.0,0.038
1430,6.0,0.039
1430,20.0,0.084
1430,63.0,0.388
1430,200.0,0.829
1430,630.0,0.971
1430,2000.0,0.997
1440,2.0,0.186
1440,6.0,0.228
1440,20.0,0.299
