code,theta,diffusivity
3152,0.156,144.0
3152,0.154,136.8
3152,0.153,132.0
3152,0.152,127.2
3152,0.151,120.0
3152,0.15,117.6
3152,0.149,112.8
3152,0.148,108.0
3152,0.147,105.6
3152,0.146,100.8
3152,0.146,98.4
3152,0.145,96.0
3152,0.144,91.2
3152,0.143,88.8
3152,0.143,86.4
3152,0.142,84.0
3152,0.141,81.6
3152,0.141,79.2
3152,0.14,79.2
3152,0.14,76.8
3152,0.139,74.4
3152,0.139,72.0
3152,0.126,38.4
3152,0.116,20.64
3152,0.112,14.4
3152,0.109,11.28
3152,0.107,9.36
3152,0.105,8.16
3152,0.104,7.2
3152,0.103,6.48
3152,0.102,5.76
3152,0.102,5.52
3152,0.101,5.04
3153,,
3154,0.144,124.8
3154,0.143,120.0
3154,0.142,117.6
3154,0.141,112.8
3154,0.14,110.4
3154,0.139,108.0
3154,0.138,105.6
3154,0.137,103.2
3154,0.135,98.4
3154,0.134,93.6
3154,0.103,26.4
3154,0.097,18.48
3154,0.094,14.64
3154,0.09,10.56
3154,0.088,9.36
3154,0.087,8.4
3154,0.087,7.68
3154,0.086,7.2
3154,0.085,6.48
3154,0.084,6.72
3154,0.079,4.56
3155,0.182,1608.0
3155,0.154,1176.0
3155,0.136,936.0
3155,0.124,768.0
3155,0.114,672.0
3155,0.106,576.0
3155,0.1,504.0
3155,0.095,456.0
3155,0.091,432.0
3155,0.087,384.0
3155,0.084,360.0
3155,0.081,336.0
3155,0.079,312.0
3155,0.076,288.0
3155,0.074,264.0
3155,0.072,264.0
3155,0.071,240.0
3155,0.069,232.8
3155,0.068,223.2
3155,0.067,211.2
3160,,
3161,0.149,432.0
3161,0.142,384.0
3161,0.136,336.0
3161,0.13,312.0
3161,0.126,288.0
3161,0.121,264.0
3161,0.118,240.0
3162,0.233,1392.0
3162,0.201,1008.0
3162,0.18,792.0
3162,0.166,648.0
3162,0.154,552.0
3162,0.145,480.0
3162,0.138,432.0
3162,0.132,384.0
3162,0.126,336.0
3162,0.122,312.0
3162,0.118,288.0
3162,0.114,264.0
3162,0.111,264.0
3162,0.108,240.0
3162,0.105,225.6
3162,0.103,213.6
3162,0.101,201.6
3162,0.099,192.0
3162,0.097,182.4
3162,0.095,175.2
3162,0.093,168.0
3162,0.092,160.8
3162,0.09,153.6
3162,0.089,148.8
3163,0.218,528.0
3163,0.209,456.0
3163,0.201,384.0
3163,0.195,336.0
3163,0.19,312.0
3163,0.186,264.0
3163,0.182,240.0
3163,0.178,228.0
3163,0.175,211.2
3163,0.173,196.8
3163,0.17,184.8
3163,0.168,172.8
3163,0.166,163.2
3163,0.164,153.6
3163,0.162,146.4
3163,0.161,139.2
3163,0.159,132.0
3163,0.158,127.2
3163,0.156,122.4
3163,0.155,117.6
3163,0.154,112.8
3163,0.152,108.0
3163,0.151,105.6
3163,0.15,100.8
3163,0.149,98.4
3163,0.148,93.6
3163,0.148,91.2
3163,0.147,88.8
3163,0.146,86.4
3163,0.145,84.0
3163,0.144,81.6
3163,0.144,79.2
3163,0.143,76.8
3163,0.142,76.8
3163,0.141,74.4
3163,0.141,72.0
3163,0.14,69.6
3163,0.14,69.6
3163,0.139,67.2
3163,0.139,64.8
3163,0.124,36.0
3163,0.113,19.68
3163,0.107,13.92
3163,0.104,10.8
3163,0.101,9.12
3163,0.099,7.68
3163,0.098,6.96
3163,0.097,6.24
3163,0.095,5.76
3163,0.095,5.28
3163,0.094,4.8
3163,0.093,4.56
3163,0.092,4.32
3163,0.087,2.64
3163,0.084,2.232
3164,0.208,408.0
3164,0.198,360.0
3164,0.19,336.0
3164,0.183,312.0
3164,0.177,288.0
3164,0.171,264.0
3164,0.166,240.0
3164,0.161,235.2
3164,0.157,220.8
3164,0.153,211.2
3164,0.15,199.2
3164,0.147,189.6
3164,0.143,182.4
3164,0.141,172.8
3164,0.138,165.6
3164,0.136,160.8
3164,0.133,153.6
3164,0.131,148.8
3164,0.129,144.0
3164,0.127,139.2
3164,0.125,134.4
3164,0.123,129.6
3164,0.122,124.8
3164,0.12,122.4
3164,0.119,117.6
3164,0.117,115.2
3165,0.197,672.0
3165,0.196,624.0
3165,0.182,528.0
3165,0.171,480.0
3165,0.162,432.0
3165,0.154,384.0
3165,0.147,360.0
3165,0.142,336.0
3165,0.136,312.0
3165,0.132,288.0
3165,0.128,264.0
3165,0.124,240.0
3165,0.121,235.2
3165,0.118,223.2
3165,0.115,211.2
3165,0.112,201.6
3165,0.11,192.0
3165,0.107,184.8
3165,0.105,177.6
3165,0.103,170.4
3165,0.101,163.2
3165,0.1,158.4
3165,0.098,151.2
3165,0.096,146.4
3165,0.095,141.6
3165,0.094,136.8
3165,0.092,134.4
3165,0.091,129.6
3165,0.09,124.8
3165,0.089,122.4
3165,0.088,120.0
3165,0.087,115.2
3165,0.086,112.8
3165,0.085,110.4
3170,,
3171,0.133,336.0
3171,0.128,312.0
3171,0.123,288.0
3171,0.118,288.0
3171,0.114,264.0
3171,0.11,264.0
3171,0.107,264.0
3171,0.103,240.0
3171,0.1,232.8
3171,0.097,225.6
3171,0.095,218.4
3172,0.16,48.0
