theta_sat,horizon,family,OM_content,pH,location,keyword,date,texture,particle_density,porosity,series,k_sat,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,83.0,0.061
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,147.0,0.061
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,85.0,0.064
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,91.0,0.069
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,145.0,0.065
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,146.0,0.055
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,3340,0.015,0.06117021276595745,0.08693548387096775,0.467,0.833,0.965,1.002,1.41,150.0,0.056
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,444.0,0.035
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,79.0,0.053
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,63.0,0.063
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,53.0,0.073
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,44.0,0.083
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,39.0,0.092
0.503,0.0,0.0,0.885,4.183,0.0,0.0,0.0,0.0,2.6,0.456,0.0,8.64,4720,0.046,0.091,0.295,0.746,0.899,0.932,0.998,1.48,33.0,0.102
