code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,5.0,0.165
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,6.0,0.121
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,8.0,0.0775
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,10.0,0.0609
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,15.0,0.0486
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,20.0,0.0439
1043,0.03,0.07,0.17333333333333334,0.772,0.952,1.017,1.023,1.593,35.0,0.0398
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,0.0,0.3841
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,0.4,0.3535
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,1.0,0.3474
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,2.0,0.294
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,3.0,0.1977
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,4.0,0.1418
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,5.0,0.1198
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,6.0,0.1094
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,10.0,0.0883
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,14.0,0.0803
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,18.0,0.0758
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,24.0,0.0713
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,32.0,0.0687
1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,40.0,0.0659
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,0.0,0.3656
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,0.4,0.3302
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,1.0,0.316
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,2.0,0.1677
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,3.0,0.1129
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,4.0,0.0931
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,5.0,0.0832
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,6.0,0.0772
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,10.0,0.0664
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,14.0,0.0645
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,18.0,0.0626
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,24.0,0.0601
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,32.0,0.0577
1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,40.0,0.0567
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,0.0,0.3663
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,0.4,0.3099
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,1.0,0.2969
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,2.0,0.1416
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,3.0,0.0793
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,4.0,0.0608
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,5.0,0.0496
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,6.0,0.0486
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,10.0,0.044
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,14.0,0.0409
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,18.0,0.0371
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,24.0,0.0366
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,32.0,0.0351
1053,0.037,0.049,0.05500000000000001,0.105,0.366,0.886,1.0,1.54,40.0,0.0341
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,0.0,0.3672
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,0.4,0.3235
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,1.0,0.3
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,2.0,0.1054
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,3.0,0.0589
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,4.0,0.0442
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,5.0,0.037
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,6.0,0.0357
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,10.0,0.0326
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,14.0,0.0306
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,18.0,0.0266
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,24.0,0.0256
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,32.0,0.0253
1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,40.0,0.0248
