particle_density,texture,porosity,series,conductivity,depth_lower,OM_content,k_sat,theta_sat,pH,location,depth_upper,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,10.0,0.3474
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,30.0,0.1977
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,40.0,0.1418
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,50.0,0.1198
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,60.0,0.1094
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,100.0,0.0883
2.65,12.0,0.44,33.0,1.656,61.0,0.2,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,140.0,0.0803
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,180.0,0.0758
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,240.0,0.0713
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,320.0,0.0687
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1050,0.032,0.078,0.10400000000000001,0.216,0.572,0.965,1.0,1.6,400.0,0.0659
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,10.0,0.316
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,0.0,0.3656
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,4.0,0.3302
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,20.0,0.1677
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,30.0,0.1129
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,40.0,0.0931
2.65,12.0,0.44,33.0,1.656,61.0,0.1,88.992,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,50.0,0.0832
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,60.0,0.0772
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,100.0,0.0664
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,140.0,0.0645
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,180.0,0.0626
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,240.0,0.0601
2.65,12.0,0.44,33.0,1.656,61.0,0.783,542.9,0.418,7.3,23.0,30.0,1052,0.065,0.091,0.10566666666666667,0.175,0.449,0.912,1.001,1.55,320.0,0.0577
